Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
minOutsideFanMotorTemp,minOutsideFanXXXXMotorTemp,Minimum Outside Fan Motor Temperature,Minimum Outside Fan XX Motor Temperature,"minOutsideFan(\w{0,4}(?=[A-Z]|$))MotorTemp",Number,,,fahrenheit,celsius,1,1,,,"minOutside,air,fan,motorTemp,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanOvr,minOutsideFanXXXXOvr,Minimum Outside Fan Override,Minimum Outside Fan XX Override,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Ovr",Bool,On/Off,On/Off,,,,,,,"minOutside,air,fan,status,ovr","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanPowerReal,minOutsideFanXXXXPowerReal,Minimum Outside Fan Real Power,Minimum Outside Fan XX Real Power,"minOutsideFan(\w{0,4}(?=[A-Z]|$))PowerReal",Number,,,kilowatt,kilowatt,1,1,,N,"minOutside,air,fan,power,real,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanPressureDelta,minOutsideFanXXXXPressureDelta,Minimum Outside Fan Pressure Delta,Minimum Outside Fan XX Pressure Delta,"minOutsideFan(\w{0,4}(?=[A-Z]|$))PressureDelta",Number,,,inches_of_water,pascal,2,1,,,"minOutside,air,fan,common,pressure,delta,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanPressureHiAlarm,minOutsideFanXXXXPressureHiAlarm,Minimum Outside Fan Pressure High Alarm,Minimum Outside Fan XX Pressure High Alarm,"minOutsideFan(\w{0,4}(?=[A-Z]|$))PressureHiAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"minOutside,air,fan,pressure,high,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanPressureHiSp,minOutsideFanXXXXPressureHiSp,Minimum Outside Fan Pressure High Setpoint,Minimum Outside Fan XX Pressure High Setpoint,"minOutsideFan(\w{0,4}(?=[A-Z]|$))PressureHiSp",Number,,,inches_of_water,pascal,2,1,,,"minOutside,air,fan,pressure,high,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanPressureLoAlarm,minOutsideFanXXXXPressureLoAlarm,Minimum Outside Fan Pressure Low Alarm,Minimum Outside Fan XX Pressure Low Alarm,"minOutsideFan(\w{0,4}(?=[A-Z]|$))PressureLoAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"minOutside,air,fan,pressure,low,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanPressureLoSp,minOutsideFanXXXXPressureLoSp,Minimum Outside Fan Pressure Low Setpoint,Minimum Outside Fan XX Pressure Low Setpoint,"minOutsideFan(\w{0,4}(?=[A-Z]|$))PressureLoSp",Number,,,inches_of_water,pascal,2,1,,,"minOutside,air,fan,pressure,low,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanRuntime,minOutsideFanXXXXRuntime,Minimum Outside Fan Runtime,Minimum Outside Fan XX Runtime,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Runtime",Number,,,hour,hour,1,1,,,blacklist,"AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanRuntime,minOutsideFanXXXXRuntime,Minimum Outside Fan Runtime,Minimum Outside Fan XX Runtime,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Runtime",Number,,,hour,hour,1,1,,,blacklist,"AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanSpeed,minOutsideFanXXXXSpeed,Minimum Outside Fan Speed,Minimum Outside Fan XX Speed,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Speed",Number,,,percent,percent,1,1,,,"minOutside,air,fan,speed,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanSpeedFb,minOutsideFanXXXXSpeedFb,Minimum Outside Fan Speed Feedback,Minimum Outside Fan XX Speed Feedback,"minOutsideFan(\w{0,4}(?=[A-Z]|$))SpeedFb",Number,,,percent,percent,1,1,,,"minOutside,air,fan,speed,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanSpeedMaxSp,minOutsideFanXXXXSpeedMaxSp,Minimum Outside Fan Speed Max Setpoint,Minimum Outside Fan XX Speed Max Setpoint,"minOutsideFan(\w{0,4}(?=[A-Z]|$))SpeedMaxSp",Number,,,percent,percent,1,1,,,"minOutside,air,fan,speed,max,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanSpeedMinSp,minOutsideFanXXXXSpeedMinSp,Minimum Outside Fan Speed Min Setpoint,Minimum Outside Fan XX Speed Min Setpoint,"minOutsideFan(\w{0,4}(?=[A-Z]|$))SpeedMinSp",Number,,,percent,percent,1,1,,,"minOutside,air,fan,speed,min,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanSpeedOvr,minOutsideFanXXXXSpeedOvr,Minimum Outside Fan Speed Override,Minimum Outside Fan XX Speed Override,"minOutsideFan(\w{0,4}(?=[A-Z]|$))SpeedOvr",Number,,,percent,percent,1,1,,,"minOutside,air,fan,speed,ovr","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanSpeedSp,minOutsideFanXXXXSpeedSp,Minimum Outside Fan Speed Setpoint,Minimum Outside Fan XX Speed Setpoint,"minOutsideFan(\w{0,4}(?=[A-Z]|$))SpeedSp",Number,,,percent,percent,1,1,,,"minOutside,air,fan,speed,effective,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanStarts,minOutsideFanXXXXStarts,Minimum Outside Fan Starts,Minimum Outside Fan XX Starts,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Starts",Number,,,,,0,0,,,"minOutside,air,fan,starts,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanStatus,minOutsideFanXXXXStatus,Minimum Outside Fan Status,Minimum Outside Fan XX Status,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Status",Bool,On/Off,On/Off,,,,,,,"minOutside,air,fan,status,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanTorque,minOutsideFanXXXXTorque,Minimum Outside Fan Torque,Minimum Outside Fan XX Torque,"minOutsideFan(\w{0,4}(?=[A-Z]|$))Torque",Number,,,percent,percent,1,1,,,"minOutside,air,fan,torque,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFanVoltage,minOutsideFanXXXXVoltage,Minimum Outside Fan Voltage,Minimum Outside Fan XX Voltage,"minOutsideFan((?:(?!DC)\w){0,4}(?=[A-Z]|$))Voltage",Number,,,volt,volt,1,1,,N,"minOutside,air,fan,volt,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFilterAlarm,minOutsideFilterAlarm,Minimum Outside Filter Alarm,Minimum Outside Filter Alarm,minOutsideFilterAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"minOutside,air,filter,common,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFilterAlarmReset,minOutsideFilterAlarmReset,Minimum Outside Filter Alarm Reset,Minimum Outside Filter Alarm Reset,minOutsideFilterAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"minOutside,air,filter,reset,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFilterPressureDelta,minOutsideFilterPressureDelta,Minimum Outside Filter Pressure Delta,Minimum Outside Filter Pressure Delta,minOutsideFilterPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"minOutside,air,filter,pressure,delta,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFilterRuntime,minOutsideFilterRuntime,Minimum Outside Filter Runtime,Minimum Outside Filter Runtime,minOutsideFilterRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFilterRuntime,minOutsideFilterRuntime,Minimum Outside Filter Runtime,Minimum Outside Filter Runtime,minOutsideFilterRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFlow,minOutsideFlow,Minimum Outside Flow,Minimum Outside Flow,minOutsideFlow,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,sensor","AFMS,AHU,CRAC,CRAH,CU,DHU,DOAS,HP,RTU,HP"
minOutsideFlowDb,minOutsideFlowDb,Minimum Outside Flow Deadband,Minimum Outside Flow Deadband,minOutsideFlowDb,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,deadband,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFlowHiSp,minOutsideFlowHiSp,Minimum Outside Flow High Setpoint,Minimum Outside Flow High Setpoint,minOutsideFlowHiSp,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,high,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFlowLoSp,minOutsideFlowLoSp,Minimum Outside Flow Low Setpoint,Minimum Outside Flow Low Setpoint,minOutsideFlowLoSp,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,low,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFlowMaxSp,minOutsideFlowMaxSp,Minimum Outside Flow Max Setpoint,Minimum Outside Flow Max Setpoint,minOutsideFlowMaxSp,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,max,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFlowMinSp,minOutsideFlowMinSp,Minimum Outside Flow Min Setpoint,Minimum Outside Flow Min Setpoint,minOutsideFlowMinSp,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,min,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
minOutsideFlowSp,minOutsideFlowSp,Minimum Outside Flow Setpoint,Minimum Outside Flow Setpoint,minOutsideFlowSp,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"minOutside,air,flow,effective,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedHumidity,mixedHumidity,Mixed Humidity,Mixed Humidity,mixedHumidity,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"mixed,air,humidity,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressure,mixedPressure,Mixed Pressure,Mixed Pressure,mixedPressure,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureDb,mixedPressureDb,Mixed Pressure Deadband,Mixed Pressure Deadband,mixedPressureDb,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,deadband,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureHiSp,mixedPressureHiSp,Mixed Pressure High Setpoint,Mixed Pressure High Setpoint,mixedPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,high,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureLoAlarm,mixedPressureLoAlarm,Mixed Pressure Low Alarm,Mixed Pressure Low Alarm,mixedPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"mixed,air,pressure,low,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureLoSp,mixedPressureLoSp,Mixed Pressure Low Setpoint,Mixed Pressure Low Setpoint,mixedPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,low,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureMaxSp,mixedPressureMaxSp,Mixed Pressure Max Setpoint,Mixed Pressure Max Setpoint,mixedPressureMaxSp,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,max,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureMinSp,mixedPressureMinSp,Mixed Pressure Min Setpoint,Mixed Pressure Min Setpoint,mixedPressureMinSp,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,min,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedPressureSp,mixedPressureSp,Mixed Pressure Setpoint,Mixed Pressure Setpoint,mixedPressureSp,Number,,,inches_of_water,pascal,2,1,,,"mixed,air,pressure,effective,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,HP"
mixedTemp,mixedTempXXXX,Mixed Temperature,Mixed Temperature XX,"mixedTemp(\d{0,4})",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,sensor","AFMS,AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempDb,mixedTempXXXXDb,Mixed Temperature Deadband,Mixed Temperature XX Deadband,"mixedTemp(\d{0,4})Db",Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"mixed,air,temp,deadband,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempFault,mixedTempXXXXFault,Mixed Temperature Fault,Mixed Temperature XX Fault,"mixedTemp(\d{0,4})Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"mixed,air,temp,fault","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempHiAlarm,mixedTempXXXXHiAlarm,Mixed Temperature High Alarm,Mixed Temperature XX High Alarm,"mixedTemp(\d{0,4})HiAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"mixed,air,temp,high,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempHiSp,mixedTempXXXXHiSp,Mixed Temperature High Setpoint,Mixed Temperature XX High Setpoint,"mixedTemp(\d{0,4})HiSp",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,high,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempLevelAlarm,mixedTempXXXXLevelYYYYAlarm,Mixed Temperature Level Alarm,Mixed Temperature XX Level YY Alarm,"mixedTemp(\d{0,4})Level(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"mixed,air,temp,level,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempLoAlarm,mixedTempXXXXLoAlarm,Mixed Temperature Low Alarm,Mixed Temperature XX Low Alarm,"mixedTemp(\d{0,4})LoAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"mixed,air,temp,low,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempLoSp,mixedTempXXXXLoSp,Mixed Temperature Low Setpoint,Mixed Temperature XX Low Setpoint,"mixedTemp(\d{0,4})LoSp",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,low,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempMaxSp,mixedTempXXXXMaxSp,Mixed Temperature Max Reset Setpoint,Mixed Temperature XX Max Reset Setpoint,"mixedTemp(\d{0,4})MaxSp",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,max,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempMinSp,mixedTempXXXXMinSp,Mixed Temperature Min Reset Setpoint,Mixed Temperature XX Min Reset Setpoint,"mixedTemp(\d{0,4})MinSp",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,min,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempSp,mixedTempXXXXSp,Mixed Temperature Setpoint,Mixed Temperature XX Setpoint,"mixedTemp(\d{0,4})Sp",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,effective,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixedTempUnoccSp,mixedTempXXXXUnoccSp,Mixed Temperature Unoccupied Setpoint,Mixed Temperature XX Unoccupied Setpoint,"mixedTemp(\d{0,4})UnoccSp",Number,,,fahrenheit,celsius,1,1,,,"mixed,air,temp,unoccupied,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,RTU,UV,HP"
mixingValve,mixingValveXXXX,Mixing Valve Command,Mixing Valve XX Command,"mixingValve(\d{0,4})",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"common,water,mixing,valve,general,position,cmd","BLR,CHX,CLR,CWS,GEO,HHX,HWS,TWR,WS"
mixingValveFb,mixingValveXXXXFb,Mixing Valve Feedback,Mixing Valve XX Feedback,"mixingValve(\d{0,4})Fb",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"common,water,mixing,valve,general,position,sensor","BLR,CHX,CLR,CWS,GEO,HHX,HWS,TWR,WS"
mixingValveOvr,mixingValveXXXXOvr,Mixing Valve Override,Mixing Valve XX Override,"mixingValve(\d{0,4})Ovr",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"common,water,mixing,valve,general,position,ovr","BLR,CHX,CLR,CWS,GEO,HHX,HWS,TWR,WS"
morningCoolDown,morningCoolDown,Morning Cool Down Command,Morning Cool Down Command,morningCoolDown,Bool,On/Off,On/Off,,,,,,,"morning,coolDown,cmd","AHU,CRAC,CRAH,DHU,DOAS,EC,HP,MAU,RTU,HP"
morningFreeCooling,morningFreeCooling,Morning Free Cooling Command,Morning Free Cooling Command,morningFreeCooling,Bool,On/Off,On/Off,,,,,,,"morning,freeCooling,cmd","AHU,CRAC,CRAH,DHU,DOAS,EC,HP,MAU,RTU,HP"
morningMode,morningMode,Morning Mode,Morning Mode,morningMode,Str,On/Off,Normal/Warmup/Cooldown/Coast,,,,,,,"morning,mode,cmd","AHU,CRAC,CRAH,DHU,DOAS,EC,HP,MAU,RTU,HP"
morningWarmUp,morningWarmUp,Morning Warm Up Command,Morning Warm Up Command,morningWarmUp,Bool,On/Off,On/Off,,,,,,,"morning,warmUp,status,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
morningWarmUpDb,morningWarmUpDb,Morning Warm Up Deadband,Morning Warm Up Deadband,morningWarmUpDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"morning,warmUp,deadband,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
morningWarmUpEnable,morningWarmUpEnable,Morning Warm Up Enable Command,Morning Warm Up Enable Command,morningWarmUpEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"morning,warmUp,enable,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
morningWarmUpSp,morningWarmUpSp,Morning Warm Up Setpoint,Morning Warm Up Setpoint,morningWarmUpSp,Number,,,fahrenheit,celsius,1,1,,,"morning,warmUp,effective,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
motorSpeed,motorSpeed,Motor Speed,Motor Speed,motorSpeed,Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"motor,speed,cmd",MSC
nightPurge,nightPurge,Night Purge Command,Night Purge Command,nightPurge,Bool,On/Off,On/Off,,,,,,,"night,purge,status,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
nightPurgeEnable ,nightPurgeEnable,Night Purge Enable Command,Night Purge Enable Command,nightPurgeEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"night,purge,enable,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
nightPurgeEnableSp,nightPurgeEnableSp,Night Purge Enable Setpoint,Night Purge Enable Setpoint,nightPurgeEnableSp,Number,,,fahrenheit,celsius,1,1,,,"night,purge,enable,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
nightPurgeOutsideLoSp,nightPurgeOutsideLoSp,Night Purge Outside Low Setpoint,Night Purge Outside Low Setpoint,nightPurgeOutsideLoSp,Number,,,fahrenheit,celsius,1,1,,,"night,purge,outside,low,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
nightPurgeZoneTempDb,nightPurgeZoneTempDb,Night Purge Zone Temperature Deadband,Night Purge Zone Temperature Deadband,nightPurgeZoneTempDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"night,purge,zone,temp,deadband","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
nightPurgeZoneTempSp,nightPurgeZoneTempSp,Night Purge Zone Temperature Setpoint,Night Purge Zone Temperature Setpoint,nightPurgeZoneTempSp,Number,,,fahrenheit,celsius,1,1,,,"night,purge,zone,temp,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,HP"
nightSetbackMode,nightSetbackMode,Unoccupied Heating Mode,Unoccupied Heating Mode,nightSetbackMode,Bool,On/Off,On/Off,,,,,,,"unoccupied,heat,mode,cmd","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,MAU,RTU,UV,VAV,FCU,HP"
nightSetupMode,nightSetupMode,Unoccupied Cooling Mode,Unoccupied Cooling Mode,nightSetupMode,Bool,On/Off,On/Off,,,,,,,"unoccupied,cool,mode,cmd","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,MAU,RTU,UV,VAV,FCU,HP"
normalSourceAvailable,,Normal Power Source Available,,,Bool,On/Off,,,,,,,,,
occCount,occCount,Occupant Count,Occupant Count,occCount,Number,,,,,0,0,,,"occupant,count,effective",TRN
occCountEnter,occCountEnter,Occupant Enter Count,Occupant Enter Count,occCountEnter,Number,,,,,0,0,,,"occupant,count,entering",TRN
occCountExit,occCountExit,Occupant Exit Count,Occupant Exit Count,occCountExit,Number,,,,,0,0,,,"occupant,count,leaving",TRN
occCountReset,occCountReset,Occupant Count Reset,Occupant Count Reset,occCountReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"occupant,count,reset",TRN
occupancyMode,occupancyMode,Occupied Mode,Occupied Mode,occupancyMode,Bool,Occupied/Unoccupied,Occupied/Unoccupied/Standby/Bypass,,,,,,,"occupancy,mode,cmd","AC,AHU,ATU,BLR,CHX,CLR,CMP,CRAC,CRAH,CUH,CWS,DAC,DH,DHU,DOAS,EC,EF,ERU,FCU,FPB,GBL,GEO,HHX,HP,HRU,HUM,HVHS,HVLS,HWS,MAU,MSC,RP,RPC,RPF,RTU,SMP,SMS,TWR,UV,VAV,WS,ZD,ZN,FCU,HP"
occupancyModeOvr,occupancyModeOvr,Occupied Mode Override,Occupied Mode Override,occupancyModeOvr,Bool,Occupied/Unoccupied,Occupied/Unoccupied/Standby/Bypass,,,,,,,"occupancy,mode,ovr","AC,AHU,ATU,BLR,CHX,CLR,CMP,CRAC,CRAH,CUH,CWS,DAC,DH,DHU,DOAS,EC,EF,ERU,FCU,FPB,GBL,GEO,HHX,HP,HRU,HUM,HVHS,HVLS,HWS,MAU,MSC,RP,RPC,RPF,RTU,SMP,SMS,TWR,UV,VAV,WS,ZD,ZN,FCU,HP"
occupancySensor,occupancySensorXXXX,Occupancy Sensor,Occupancy Sensor XX,"occupancySensor(\d{0,4})",Bool,Occupied/Unoccupied,Occupied/Unoccupied,,,,,,,"occupancy,mode,sensor","AHU,ATU,CRAC,CRAH,CUH,DAC,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UV,VAV,ZD,ZN,FCU,HP"
occupiedCoolDb,occupiedCoolDb,Occupied Cool Deadband,Occupied Cool Deadband,occupiedCoolDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"occupied,cool,deadband,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UV,VAV,ZD,FCU,HP"
occupiedCoolSp,occupiedCoolSp,Occupied Cool Setpoint,Occupied Cool Setpoint,occupiedCoolSp,Number,,,fahrenheit,celsius,1,1,,,"zone,air,temp,occupied,cool,common,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UV,VAV,ZD,FCU,HP"
occupiedCoolSpLocal,occupiedCoolSpLocal,Occupied Cool Setpoint Local,Occupied Cool Setpoint Local,occupiedCoolSpLocal,Number,,,fahrenheit,celsius,1,1,,,"zone,air,temp,occupied,cool,local,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UV,VAV,ZD,FCU,HP"
occupiedCoolSpOffset,occupiedCoolSpOffset,Occupied Cool Setpoint Offset,Occupied Cool Setpoint Offset,occupiedCoolSpOffset,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"zone,air,temp,occupied,cool,offset,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UV,VAV,ZD,FCU,HP"
occupiedDehumidSp,occupiedDehumidSp,Occupied Dehumidification Setpoint,Occupied Dehumidification Setpoint,occupiedDehumidSp,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"zone,air,dehumid,occupied,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,ZD,FCU,HP"
occupiedDewpointSp,,Occupied Dewpoint Setpoint,,,Number,,,fahrenheit,celsius,1,1,,,,
occupiedDimLevelSp,occupiedDimLevelSp,Occupied Dimming Level Setpoint,Occupied Dimming Level Setpoint,occupiedDimLevelSp,Number,,,footcandle,lux,0,0,,,"occupied,lightLevel,dimming,sp","LTGE,LTGI"
occupiedHeatDb,occupiedHeatDb,Occupied Heat Deadband,Occupied Heat Deadband,occupiedHeatDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"occupied,heat,deadband,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,ZD,FCU,HP"
occupiedHeatSp,occupiedHeatSp,Occupied Heat Setpoint,Occupied Heat Setpoint,occupiedHeatSp,Number,,,fahrenheit,celsius,1,1,,,"zone,air,temp,occupied,heat,common,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,ZD,FCU,HP"
occupiedHeatSpLocal,occupiedHeatSpLocal,Occupied Heat Setpoint Local,Occupied Heat Setpoint Local,occupiedHeatSpLocal,Number,,,fahrenheit,celsius,1,1,,,"zone,air,temp,occupied,heat,local,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,ZD,FCU,HP"
